Batch ,Sample_ID
484,NH23-291
484,NH23-334
484,NH23-336
485,NH23-278
485,NH23-313
485,NH23-318
485,NH23-320
485,NH23-330
486,NH14-460
486,NH23-321
486,NH23-368
486,NH23-388
487,NH23-353
487,NH23-370
487,NH23-371
487,NH23-372
488,NH23-405
488,NH23-408
488,NH23-415
489,NH23-396
489,NH23-412
489,NH23-441
490,NH23-449
491,NH23-484
491,NH23-485
491,NH23-490
492,NH23-445
492,NH23-462
492,NH23-496
493,NH23-454
493,NH23-457
493,NH23-510
493,NH23-513
493,NH23-514
494,NH16-356
494,NH23-504
494,NH23-505
495,NH23-509
495,NH23-525
495,NH23-560
495,NH23-562
495,NH23-571
496,NH23-482
496,NH23-543
496,NH23-545
496,NH23-589
497,NH20-1320
497,NH20-848
497,NH23-542
497,NH23-551
497,NH23-563
497,NH23-568
497,NH23-596
498,NH17-2416
498,NH23-566
498,NH23-567
498,NH23-594
498,NH23-597
499,NH23-555
499,NH23-564
499,NH23-641
500,NH23-288
500,NH23-629
500,NH23-630
501,NH22-93
501,NH23-662
501,NH23-695
501,NH23-696
501,NH23-707
502,NH23-103
502,NH23-602
502,NH23-609
502,NH23-624
502,NH23-713
503,NH23-625
503,NH23-638
503,NH23-644
503,NH23-714
504,NH21-1298
504,NH23-717
504,NH23-720
504,NH23-722
504,NH23-766
505,NH23-724
505,NH23-737
505,NH23-738
505,NH23-778
505,NH23-790
506,NH23-791
506,NH23-795
506,NH23-803
506,NH23-807
507,NH15-2146
507,NH16-2094
507,NH19-2683
507,NH23-748
507,NH23-785
508,NH23-813
508,NH23-827
508,NH23-840
509,NH23-699
509,NH23-866
510,NH23-788
510,NH23-842
511,NH23-875
511,NH23-876
511,NH23-892
511,NH23-901
512,NH23-852
512,NH23-869
512,NH23-872
512,NH23-882
513,NH21-242
513,NH23-858
513,NH23-906
514,NH23-699
514,NH23-873
514,NH23-903
514,NH23-920
514,NH23-941
515,NH23-935
515,NH23-937
515,NH23-939
515,NH23-945
515,NH23-950
516,NH23-924
516,NH23-957
516,NH23-961
516,NH23-962
516,NH23-965
516,NH23-971
517,NH20-1763
517,NH23-966
518,NH23-740
518,NH23-948
518,NH23-978
518,NH23-979
518,NH23-991
519,NH23-1024
519,NH23-1025
519,NH23-972
520,NH23-1003
520,NH23-1012
520,NH23-911
520,NH23-974
520,NH23-995
520,NH23-998
521,NH23-1006
521,NH23-911
523,NH23-1047
523,NH23-1068
524,NH23-1066
524,NH23-1078
524,NH23-1098
524,NH23-1101
524,NH23-1121
525,NH23-1066
525,NH23-1108
525,NH23-1116
525,NH23-1126
525,NH23-1133
525,NH23-1142
526,NH23-1130
526,NH23-1154
526,NH23-1165
526,NH23-1186
527,NH23-1166
527,NH23-1187
527,NH23-1188
528,NH23-1201
528,NH23-1202
528,NH23-1219
529,NH23-1196
529,NH23-1220
529,NH23-1231
529,NH23-1235
529,NH23-1236
529,NH23-1249
529,NH23-1254
530,NH23-1209
530,NH23-1238
530,NH23-1239
530,NH23-1252
530,NH23-1253
531,NH23-1216
532,NH23-1247
532,NH23-1263
532,NH23-1264
532,NH23-1270
