Batch ,Sample_ID
126,NH20-122
126,NH20-123
126,NH20-143
126,NH20-147
127,NH20-113
127,NH20-193
127,NH20-232
127,NH20-250
127,NH20-269
129,NH20-360
129,NH20-362
129,NH20-365
130,NH20-126
130,NH20-204
130,NH20-403
130,NH20-435
132,NH20-471
132,NH20-528
132,NH20-544
133,NH09-1467
133,NH20-336
133,NH20-397
133,NH20-539
133,NH20-567
133,NH20-568
133,NH20-570
134,NH20-601
135,NH20-661
136,NH20-667
136,NH20-677
136,NH20-679
136,NH20-689
136,NH20-733
137,NH17-560
137,NH20-668
137,NH20-703
137,NH20-743
138,NH20-756
138,NH20-773
138,NH20-779
138,NH20-784
138,NH20-810
139,NH20-878
140,NH20-803
140,NH20-804
140,NH20-829
140,NH20-832
141,NH20-894
141,NH20-895
141,NH20-921
141,NH20-938
141,NH20-958
142,NH20-582
142,NH20-583
142,NH20-957
142,NH20-969
143,NH20-1017
143,NH20-727
143,NH20-916
144,NH20-1023
144,NH20-1077
144,NH20-1081
144,NH20-1118
145,NH20-1059
145,NH20-1147
145,NH20-1163
145,NH20-1185
146,NH20-1172
146,NH20-1204
146,NH20-1217
146,NH20-1248
147,NH20-1278
147,NH20-1294
147,NH20-1307
148,NH20-1259
148,NH20-1304
148,NH20-1330
149,NH20-1364
149,NH20-1378
149,NH20-1391
149,NH20-1398
150,NH20-1247
150,NH20-1401
150,NH20-1406
150,NH20-1415
150,NH20-1416
151,NH20-1358
151,NH20-1414
151,NH20-1480
152,NH20-1102
152,NH20-1417
152,NH20-1467
152,NH20-1480
152,NH20-1493
153,NH20-1538
154,NH20-1450
154,NH20-1590
155,NH19-2365
155,NH20-1513
155,NH20-1550
155,NH20-1621
155,NH20-1636
156,NH20-1570
156,NH20-1680
157,NH20-1359
157,NH20-1685
157,NH20-1691
158,NH20-1359
158,NH20-1631
158,NH20-1672
158,NH20-1684
159,NH18-2815
159,NH20-1774
159,NH20-1778
160,NH20-1721
160,NH20-1760
160,NH20-1767
160,NH20-1788
161,NH20-1659
161,NH20-1743
161,NH20-1811
162,NH20-1686
162,NH20-1827
162,NH20-1862
163,NH20-1825
163,NH20-1904
164,NH20-1777
164,NH20-1831
164,NH20-1860
164,NH20-1883
165,NH19-2371
165,NH20-1936
165,NH20-1944
165,NH20-1970
165,NH20-1991
166,NH20-2010
166,NH20-2034
166,NH20-2048
167,NH20-2054
167,NH20-2055
167,NH20-2066
167,NH20-2069
168,NH20-1911
168,NH20-1929
168,NH20-1983
168,NH20-2129
169,NH20-2080
169,NH20-2122
169,NH20-2125
170,NH20-2021
170,NH20-2238
170,NH20-2239
171,NH20-2108
171,NH20-2144
171,NH20-2180
171,NH20-2182
172,NH20-1927
172,NH20-2141
172,NH20-2215
172,NH20-2221
173,NH20-1999
173,NH20-2242
173,NH20-2249
173,NH20-2275
174,NH20-2168
174,NH20-2243
174,NH20-2259
174,NH20-2288
174,NH20-2289
175,NH20-2202
175,NH20-2317
175,NH20-2318
175,NH20-2319
175,NH20-2320
175,NH20-2321
176,NH20-2127
176,NH20-2174
176,NH20-2339
176,NH20-2345
177,NH20-2223
177,NH20-2253
177,NH20-2264
177,NH20-2344
177,NH20-2365
177,NH20-2382
178,NH20-2387
178,NH20-2390
179,NH20-2267
179,NH20-2368
179,NH20-2422
180,NH20-2430
180,NH20-2445
180,NH20-2461
180,NH20-2478
181,NH20-1919
181,NH20-2204
181,NH20-2474
181,NH20-2494
181,NH20-2496
181,NH20-2497
182,NH20-2305
182,NH20-2559
183,NH20-1908
183,NH20-2517
183,NH20-2556
183,NH20-2577
183,NH20-2581
183,NH20-2594
183,NH20-2605
184,NH20-2503
184,NH20-2598
184,NH20-2618
184,NH20-2651
185,NH20-2535
185,NH20-2579
185,NH20-2609
185,NH20-2653
